Metric,Value
design__lint_error__count,0
design__lint_timing_construct__count,0
design__lint_warning__count,9
design__inferred_latch__count,0
design__instance__count,2523
design__instance__area,29649.1
design__instance_unmapped__count,0
synthesis__check_error__count,0
design__max_slew_violation__count__corner:nom_fast_1p32V_m40C,0
design__max_fanout_violation__count__corner:nom_fast_1p32V_m40C,1
design__max_cap_violation__count__corner:nom_fast_1p32V_m40C,0
power__internal__total,0.0007357411086559296
power__switching__total,0.000133485984406434
power__leakage__total,4.972450824425323E-7
power__total,0.0008697243756614625
clock__skew__worst_hold__corner:nom_fast_1p32V_m40C,-0.30180825359803864
clock__skew__worst_setup__corner:nom_fast_1p32V_m40C,0.3012109813494739
timing__hold__ws__corner:nom_fast_1p32V_m40C,0.02399558397677236
timing__setup__ws__corner:nom_fast_1p32V_m40C,11.069206309308809
timing__hold__tns__corner:nom_fast_1p32V_m40C,0.0
timing__setup__tns__corner:nom_fast_1p32V_m40C,0.0
timing__hold__wns__corner:nom_fast_1p32V_m40C,0
timing__setup__wns__corner:nom_fast_1p32V_m40C,0.0
timing__hold_vio__count__corner:nom_fast_1p32V_m40C,0
timing__hold_r2r__ws__corner:nom_fast_1p32V_m40C,0.023996
timing__hold_r2r_vio__count__corner:nom_fast_1p32V_m40C,0
timing__setup_vio__count__corner:nom_fast_1p32V_m40C,0
timing__setup_r2r__ws__corner:nom_fast_1p32V_m40C,15.851089
timing__setup_r2r_vio__count__corner:nom_fast_1p32V_m40C,0
design__max_slew_violation__count__corner:nom_slow_1p08V_125C,0
design__max_fanout_violation__count__corner:nom_slow_1p08V_125C,1
design__max_cap_violation__count__corner:nom_slow_1p08V_125C,0
clock__skew__worst_hold__corner:nom_slow_1p08V_125C,-0.2945836713499946
clock__skew__worst_setup__corner:nom_slow_1p08V_125C,0.2945836713499946
timing__hold__ws__corner:nom_slow_1p08V_125C,0.41635956971751154
timing__setup__ws__corner:nom_slow_1p08V_125C,9.177636688164656
timing__hold__tns__corner:nom_slow_1p08V_125C,0.0
timing__setup__tns__corner:nom_slow_1p08V_125C,0.0
timing__hold__wns__corner:nom_slow_1p08V_125C,0
timing__setup__wns__corner:nom_slow_1p08V_125C,0.0
timing__hold_vio__count__corner:nom_slow_1p08V_125C,0
timing__hold_r2r__ws__corner:nom_slow_1p08V_125C,0.416360
timing__hold_r2r_vio__count__corner:nom_slow_1p08V_125C,0
timing__setup_vio__count__corner:nom_slow_1p08V_125C,0
timing__setup_r2r__ws__corner:nom_slow_1p08V_125C,9.177637
timing__setup_r2r_vio__count__corner:nom_slow_1p08V_125C,0
design__max_slew_violation__count__corner:nom_typ_1p20V_25C,0
design__max_fanout_violation__count__corner:nom_typ_1p20V_25C,1
design__max_cap_violation__count__corner:nom_typ_1p20V_25C,0
clock__skew__worst_hold__corner:nom_typ_1p20V_25C,-0.30059547368721395
clock__skew__worst_setup__corner:nom_typ_1p20V_25C,0.30059547368721395
timing__hold__ws__corner:nom_typ_1p20V_25C,0.1676678843223071
timing__setup__ws__corner:nom_typ_1p20V_25C,10.696709598622169
timing__hold__tns__corner:nom_typ_1p20V_25C,0.0
timing__setup__tns__corner:nom_typ_1p20V_25C,0.0
timing__hold__wns__corner:nom_typ_1p20V_25C,0
timing__setup__wns__corner:nom_typ_1p20V_25C,0.0
timing__hold_vio__count__corner:nom_typ_1p20V_25C,0
timing__hold_r2r__ws__corner:nom_typ_1p20V_25C,0.167668
timing__hold_r2r_vio__count__corner:nom_typ_1p20V_25C,0
timing__setup_vio__count__corner:nom_typ_1p20V_25C,0
timing__setup_r2r__ws__corner:nom_typ_1p20V_25C,13.068370
timing__setup_r2r_vio__count__corner:nom_typ_1p20V_25C,0
design__max_slew_violation__count,0
design__max_fanout_violation__count,1
design__max_cap_violation__count,0
clock__skew__worst_hold,-0.2945836713499946
clock__skew__worst_setup,0.2945836713499946
timing__hold__ws,0.02399558397677236
timing__setup__ws,9.177636688164656
timing__hold__tns,0.0
timing__setup__tns,0.0
timing__hold__wns,0
timing__setup__wns,0.0
timing__hold_vio__count,0
timing__hold_r2r__ws,0.023996
timing__hold_r2r_vio__count,0
timing__setup_vio__count,0
timing__setup_r2r__ws,9.177637
timing__setup_r2r_vio__count,0
design__die__bbox,0.0 0.0 202.08 154.98
design__core__bbox,0.48 3.78 201.6 151.2
design__io,45
design__die__area,31318.4
design__core__area,29649.1
design__instance__count__stdcell,1877
design__instance__area__stdcell,26230.8
design__instance__count__macros,0
design__instance__area__macros,0
design__instance__count__padcells,0
design__instance__area__padcells,0
design__instance__count__cover,0
design__instance__area__cover,0
design__instance__utilization,0.884707
design__instance__utilization__stdcell,0.884707
design__rows,39
design__rows:CoreSite,39
design__sites,16341
design__sites:CoreSite,16341
design__instance__count__class:buffer,8
design__instance__area__class:buffer,58.0608
design__instance__count__class:inverter,121
design__instance__area__class:inverter,658.627
design__instance__count__class:sequential_cell,162
design__instance__area__class:sequential_cell,7936.19
design__instance__count__class:multi_input_combinational_cell,1288
design__instance__area__class:multi_input_combinational_cell,12954.8
flow__warnings__count,1
flow__errors__count,0
flow__warnings__type_count,1
flow__warnings__count:ORD-0039,1
design__power_grid_violation__count__net:VPWR,0
design__power_grid_violation__count__net:VGND,0
design__power_grid_violation__count,0
timing__drv__floating__nets,0
timing__drv__floating__pins,0
design__instance__displacement__total,20340.3
design__instance__displacement__mean,10.859
design__instance__displacement__max,153.54
route__wirelength__estimated,71622.6
design__violations,0
design__instance__count__class:timing_repair_buffer,243
design__instance__area__class:timing_repair_buffer,2716.16
design__instance__count__class:clock_buffer,49
design__instance__area__class:clock_buffer,1874.28
design__instance__count__class:clock_inverter,2
design__instance__area__class:clock_inverter,10.8864
design__instance__count__setup_buffer,0
design__instance__count__hold_buffer,105
global_route__vias,13
global_route__wirelength,115063
antenna__violating__nets,0
antenna__violating__pins,0
route__antenna_violation__count,0
antenna_diodes_count,1
design__instance__count__class:antenna_cell,4
design__instance__area__class:antenna_cell,21.7728
route__net,1890
route__net__special,2
route__drc_errors__iter:0,131
route__wirelength__iter:0,83061
route__drc_errors__iter:1,64
route__wirelength__iter:1,83045
route__drc_errors__iter:2,42
route__wirelength__iter:2,83050
route__drc_errors__iter:3,0
route__wirelength__iter:3,83049
route__drc_errors__iter:4,40
route__wirelength__iter:4,83129
route__drc_errors__iter:5,0
route__wirelength__iter:5,83138
route__drc_errors,0
route__wirelength,83049
route__vias,15589
route__vias__singlecut,15589
route__vias__multicut,0
flow__warnings__count:DRT-0349,10
design__disconnected_pin__count,9
design__critical_disconnected_pin__count,0
route__wirelength__max,424.96
design__instance__count__class:fill_cell,646
design__instance__area__class:fill_cell,3418.33
timing__unannotated_net__count__corner:nom_fast_1p32V_m40C,11
timing__unannotated_net_filtered__count__corner:nom_fast_1p32V_m40C,0
timing__unannotated_net__count__corner:nom_slow_1p08V_125C,11
timing__unannotated_net_filtered__count__corner:nom_slow_1p08V_125C,0
timing__unannotated_net__count__corner:nom_typ_1p20V_25C,11
